,Estado,Estado_completo,latitude,longitude
0,SP,"São Paulo, Brasil",-23.55065,-46.63338
1,MG,"Minas Gerais, Brasil",-18.5264844,-44.1588654
2,RS,"Rio Grande do Sul, Brasil",-29.8425284,-53.7680577
3,BA,"Bahia, Brasil",-12.285251,-41.9294776
4,RJ,"Rio de Janeiro, Brasil",-22.9110137,-43.2093727
5,PA,"Pará, Brasil",-4.7493933,-52.8973006
6,PR,"Paraná, Brasil",-24.4842187,-51.8148872
7,PE,"Pernambuco, Brasil",-8.4116316,-37.5919699
8,GO,"Goiás, Brasil",-15.9323662,-50.1392928
9,CE,"Ceará, Brasil",-5.3264703,-39.7156073
10,SC,"Santa Catarina, Brasil",-27.0628367,-51.114965
11,AM,"Amazonas, Brasil",-4.479925,-63.5185396
12,DF,"Distrito Federal, Brasil",-15.7754462,-47.7970891
13,MT,"Mato Grosso, Brasil",-12.2115009,-55.5716547
14,MA,"Maranhão, Brasil",-5.2085503,-45.3930262
15,RO,"Rondônia, Brasil",-10.943145,-62.8277863
16,ES,"Espírito Santo, Brasil",-19.5687682,-40.1721991
17,MS,"Mato Grosso do Sul, Brasil",-19.5852564,-54.4794731
18,TO,"Tocantins, Brasil",-10.8855129,-48.3716912
19,SE,"Sergipe, Brasil",-10.6743911,-37.3773519
20,PB,"Paraíba, Brasil",-7.1219366,-36.7246845
21,PI,"Piauí, Brasil",-7.6992782,-42.5043787
22,RN,"Rio Grande do Norte, Brasil",-5.6781175,-36.4781776
23,AC,"Acre, Brasil",-9.0478679,-70.5264976
24,AL,"Alagoas, Brasil",-9.6611661,-36.6502426
25,RR,"Roraima, Brasil",2.135138,-61.3631922
26,AP,"Amapá, Brasil",1.3545442,-51.9161977
